"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
68479.264 5 251.066 59 51 61.5385 38.6752 "20190319"
68539.854 3 238.982 55 53 79.7619 50.4762 "20190319"
68651.936 3 196.716 44 53 79.0598 20.5128 "20190319"
68652.185 3 195.338 43 54 52.5641 47.8632 "20190319"
68677.426 7 256.284 60 53 50.8547 49.1453 "20190319"
68957.166 7 224.829 52 52 52.5641 47.4359 "20190319"
69179.123 1 232.603 54 55 42.7928 57.2072 "20190319"
69305.01 1 206.772 47 51 55.9829 43.8034 "20190319"
69365.164 3 214.762 49 52 49.1803 51.0929 "20190319"
69403.743 5 222.182 51 53 48.9316 51.0684 "20190319"
70029.345 1 189.71 42 48 47.6496 52.3504 "20190319"
70080.233 5 222.634 51 49 45.9402 54.0598 "20190319"
70445.565 1 248.89 58 53 52.619 47.381 "20190319"
71221.427 7 254.692 60 50 40.3846 59.4017 "20190319"
71535.097 7 229.766 53 48 48 52.3333 "20190319"
71598.495 5 212.1 48 52 56.1966 43.5897 "20190319"
71660.828 7 264.767 63 54 46.3675 53.6325 "20190319"
71748.126 7 182.127 40 52 46.5812 53.2051 "20190319"
71753.773 1 205.587 47 51 45.7265 55.5556 "20190319"
71755.941 1 211.086 48 54 70.9402 28.8462 "20190319"
71760.309 3 246.699 58 51 52.1368 47.8632 "20190319"
71772.087 7 232.561 54 49 56.1111 44.1667 "20190319"
71956.183 1 182.704 40 53 57.4359 42.5641 "20190319"
72107.27 7 205.12 46 54 59.0278 41.2037 "20190319"
72553.004 1 249.015 58 51 49.0196 50.9804 "20190319"
72649.178 1 193.447 43 53 41.9643 57.7381 "20190319"
72763.854 1 210.433 48 51 49.1453 50.8547 "20190319"
73072.293 3 227.924 52 54 43.5897 56.4103 "20190319"
73239.369 3 227.711 52 53 55.3419 44.6581 "20190319"
73239.587 3 227.943 53 53 51.2821 48.718 "20190319"
73239.931 3 228.099 53 51 44.4444 55.5556 "20190319"
73324.093 1 189.513 42 54 60.0427 39.9573 "20190319"
73324.327 1 189.57 42 54 66.6667 33.1197 "20190319"
